Levels,Criterion,Mean,Std
SLICE_BACKWARD_SLICE_FORWARD_SLICE_UNION,C3_Explanation_Clarity,0.5,0.516
SLICE_BACKWARD_SLICE_FORWARD_SLICE_UNION,C4_Actionability,1.0,0.0
SLICE_BACKWARD_SLICE_FORWARD_SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
SLICE_BACKWARD_SLICE_FORWARD_SLICE_UNION,C6_Brevity,0.812,0.403
BASELINE,C1_Readability,0.75,0.447
BASELINE,C2_Problem_Identification,1.0,0.0
BASELINE,C3_Explanation_Clarity,1.0,0.0
BASELINE,C4_Actionability,1.0,0.0
BASELINE,C5_Contextual_Adequacy,0.75,0.447
BASELINE,C6_Brevity,0.938,0.25
